stage,sxs_id,lev,horizon,snapshot_index,field,actual_time_M,offset_M,n_surface_points,Mch,gradient_q95,active_points,largest_component_points,largest_component_fraction_of_active,shuffle_p,centroid_x,centroid_y,centroid_z,candidate_snapshot
BH-HF1R,SXS:BBH:0305,6,C,120,Estar,3685.9244119149607,0.4281440462696082,1922,0.9009180971172395,4.354817010889642,97,84,0.865979381443299,0.005,0.2555665530049748,-0.966791465097386,-7.305008079916806e-08,True
BH-HF1R,SXS:BBH:0305,6,C,120,Bstar,3685.9244119149607,0.4281440462696082,1922,0.9009180971172395,1.6595545064986812,97,51,0.5257731958762887,0.16,-0.21945789585752107,0.9756219718445169,-7.908746032358916e-08,False
BH-HF1R,SXS:BBH:0305,6,C,121,Rstar,3685.92672429056,0.4304564218687119,1922,0.9009790459206942,3.588064261865402,97,69,0.711340206185567,0.005,0.20177322249969837,-0.9793569213187937,-0.012148553290877528,True
BH-HF1R,SXS:BBH:0305,6,C,121,Estar,3685.92672429056,0.4304564218687119,1922,0.9009790459206942,4.355471490525608,97,84,0.865979381443299,0.005,0.2554931375186863,-0.9668108691366953,-7.304128527051581e-08,True
BH-HF1R,SXS:BBH:0305,6,C,121,Bstar,3685.92672429056,0.4304564218687119,1922,0.9009790459206942,1.6581519066001436,97,51,0.5257731958762887,0.095,-0.21951380499537285,0.9756093938746425,-7.907413186873999e-08,False
BH-HF1R,SXS:BBH:0305,6,C,122,Rstar,3685.930893523305,0.43462565461368285,1922,0.9010886255908943,3.6020586071859,97,69,0.711340206185567,0.005,0.2016389025252476,-0.979384571032219,-0.012149691866472693,True
BH-HF1R,SXS:BBH:0305,6,C,122,Estar,3685.930893523305,0.43462565461368285,1922,0.9010886255908943,4.3569005363472275,97,84,0.865979381443299,0.005,0.25536096820192905,-0.9668457870410194,-7.302539251953132e-08,True
BH-HF1R,SXS:BBH:0305,6,C,122,Bstar,3685.930893523305,0.43462565461368285,1922,0.9010886255908943,1.6542906558253114,97,51,0.5257731958762887,0.165,-0.21961445395142243,0.9755867422303424,-7.905006636444466e-08,False
BH-HF1R,SXS:BBH:0305,6,C,123,Rstar,3685.934024475492,0.437756606801031,1922,0.9011706583609189,3.6126118349709144,97,69,0.711340206185567,0.005,0.20153821347858922,-0.9794052852707934,-0.012150542847720403,True
BH-HF1R,SXS:BBH:0305,6,C,123,Estar,3685.934024475492,0.437756606801031,1922,0.9011706583609189,4.363389269399516,97,84,0.865979381443299,0.005,0.25526188331853517,-0.9668719516692317,-7.300882692013818e-08,True
BH-HF1R,SXS:BBH:0305,6,C,123,Bstar,3685.934024475492,0.437756606801031,1922,0.9011706583609189,1.651388647724888,97,51,0.5257731958762887,0.145,-0.2196899053037211,0.9755697543013703,-7.902708874559483e-08,False
BH-HF1R,SXS:BBH:0305,6,C,124,Rstar,3685.9368882916565,0.44062042296536674,1922,0.9012454901397945,3.62420515121421,97,69,0.711340206185567,0.005,0.20144624504832517,-0.9794241960567897,-0.0121513182182612,True
BH-HF1R,SXS:BBH:0305,6,C,124,Estar,3685.9368882916565,0.44062042296536674,1922,0.9012454901397945,4.365926707407955,97,84,0.865979381443299,0.005,0.25517137409063884,-0.9668958422936206,-7.300244848237005e-08,True
BH-HF1R,SXS:BBH:0305,6,C,124,Bstar,3685.9368882916565,0.44062042296536674,1922,0.9012454901397945,1.6487325083662219,97,51,0.5257731958762887,0.115,-0.2197588241778522,0.9755542318067006,-7.901537001772851e-08,False
BH-HF1R,SXS:BBH:0305,6,C,125,Rstar,3685.9396805124165,0.44341264372542355,1922,0.9013182752895496,3.636433824678387,97,69,0.711340206185567,0.005,0.20135670031983877,-0.979442599847706,-0.012152071423147056,True
BH-HF1R,SXS:BBH:0305,6,C,125,Estar,3685.9396805124165,0.44341264372542355,1922,0.9013182752895496,4.3819121184578105,97,84,0.865979381443299,0.005,0.2550832445937529,-0.9669190960610502,-7.299172367619573e-08,True
BH-HF1R,SXS:BBH:0305,6,C,125,Bstar,3685.9396805124165,0.44341264372542355,1922,0.9013182752895496,1.6461410931798595,97,51,0.5257731958762887,0.12,-0.21982592870645973,0.9755391130387013,-7.899917088761825e-08,False
BH-HF1R,SXS:BBH:0305,6,C,126,Rstar,3685.94220680739,0.44593893869887324,1922,0.9013839773630509,3.640847189294513,97,69,0.711340206185567,0.005,0.20127578740023977,-0.9794592222551292,-0.01215275054426106,True
BH-HF1R,SXS:BBH:0305,6,C,126,Estar,3685.94220680739,0.44593893869887324,1922,0.9013839773630509,4.381324740079252,97,84,0.865979381443299,0.005,0.2550036057906842,-0.9669401020920293,-7.298199519310413e-08,True
BH-HF1R,SXS:BBH:0305,6,C,126,Bstar,3685.94220680739,0.44593893869887324,1922,0.9013839773630509,1.6437950408357394,97,51,0.5257731958762887,0.145,-0.21988656627783817,0.9755254471158278,-7.898448893074688e-08,False
BH-HF1R,SXS:BBH:0305,6,C,127,Rstar,3685.9462973319323,0.45002946324120785,1922,0.9014900566817126,3.645298272942632,97,71,0.7319587628865979,0.005,0.20758394420785475,-0.978191552335197,-0.007084705157437511,True
BH-HF1R,SXS:BBH:0305,6,C,127,Estar,3685.9462973319323,0.45002946324120785,1922,0.9014900566817126,4.397679641097781,97,84,0.865979381443299,0.005,0.25487485191320414,-0.9669740481844469,-7.296622354492542e-08,True
BH-HF1R,SXS:BBH:0305,6,C,127,Bstar,3685.9462973319323,0.45002946324120785,1922,0.9014900566817126,1.6399934242344687,97,51,0.5257731958762887,0.18,-0.21998459666536427,0.975503345576001,-7.896069754562408e-08,False
BH-HF1R,SXS:BBH:0305,6,C,128,Rstar,3685.949524411963,0.45325654327189113,1922,0.9015734823403608,3.6481671078605995,97,71,0.7319587628865979,0.005,0.21130827489379808,-0.9773480057826849,-0.011818991243585427,True
BH-HF1R,SXS:BBH:0305,6,C,128,Estar,3685.949524411963,0.45325654327189113,1922,0.9015734823403608,4.407046876235484,97,84,0.865979381443299,0.005,0.2547734457232675,-0.9670007711239366,-7.295372189694323e-08,True
BH-HF1R,SXS:BBH:0305,6,C,128,Bstar,3685.949524411963,0.45325654327189113,1922,0.9015734823403608,1.635422400302358,97,51,0.5257731958762887,0.11,-0.220061801843919,0.9754859319176271,-7.894186754495551e-08,False
BH-HF1R,SXS:BBH:0305,6,C,129,Rstar,3685.952382131253,0.456114262562096,1922,0.9016471638427541,3.649645386711683,97,71,0.7319587628865979,0.005,0.21121769765552273,-0.977367575755028,-0.011819731800669744,True
BH-HF1R,SXS:BBH:0305,6,C,129,Estar,3685.952382131253,0.456114262562096,1922,0.9016471638427541,4.41070974303836,97,84,0.865979381443299,0.005,0.254683770707156,-0.9670243931454778,-7.294269536639992e-08,True
